timestamp,iso_time,TimeSampling,bmsVolts,bmsTemp,bmsCurrent,bmsSOC,engineTemp,ECUBattV,speed,RPM,throttle,steering,HyStatus,Gear,RawBrake,imuAx,imuAy,imuAz,imuGx,imuGy,imuGz,susp1Raw,susp2Raw,susp3Raw,susp4Raw,rpmPa15,rpmPb3,rpmPb5,rpmPb8,vescRpmLeft,vescRpmRight,apps1,apps2,pedal,duty,leftMotor,rightMotor
1777951315864,2026-05-05T03:21:55.864Z,16700,40,23,-89,9,16,12,-4,-260,7,-100,1,1,501,-37,-31,-49,-180,-144,-100,1531,2071,2098,2347,615,693,729,775,4048,4124,3640,3626,97,91,493,439
1777951315972,2026-05-05T03:21:55.972Z,16800,40,18,-106,12,19,12,0,-213,8,-91,1,1,477,-31,-29,-34,-156,-98,-42,1723,1942,2246,2516,654,720,800,781,4401,4180,3449,3794,91,101,454,476
1777951316081,2026-05-05T03:21:56.081Z,16900,40,19,-97,10,18,12,11,856,7,-90,1,1,622,-29,-19,-44,-95,-81,-52,2022,2393,2324,2700,685,753,837,889,4607,4573,3847,3970,97,95,511,478
1777951316189,2026-05-05T03:21:56.189Z,17000,40,18,-85,12,18,12,13,527,12,-79,1,1,1043,-16,-21,-31,-78,8,14,2173,2327,2794,2996,781,752,876,876,4374,4736,3744,4056,99,103,483,509
1777951316299,2026-05-05T03:21:56.299Z,17100,39,22,-110,13,26,12,14,1703,12,-65,1,1,1160,-14,-8,-13,-31,18,82,2547,2781,3041,3134,787,845,865,948,4782,4862,3704,4019,99,100,497,452
1777951316407,2026-05-05T03:21:56.407Z,17200,40,19,-108,12,29,12,11,1734,18,-65,1,1,1392,-14,-9,-14,50,43,103,2809,2768,2956,3383,866,863,946,930,4866,4809,4049,3980,101,99,534,440
1777951316515,2026-05-05T03:21:56.515Z,17300,40,19,-81,15,30,12,18,1431,19,-48,1,1,1641,-3,-4,-3,41,119,107,2798,2944,3079,3476,841,937,930,982,5088,4989,3945,3893,104,96,517,461
1777951316622,2026-05-05T03:21:56.622Z,17400,39,22,-83,16,27,12,21,3142,21,-37,1,1,1514,-4,-2,15,81,94,134,3002,3196,3272,3451,901,957,1002,1001,5048,4969,3874,4092,101,98,466,397
1777951316729,2026-05-05T03:21:56.729Z,17500,40,22,-77,22,34,12,25,3009,32,-42,1,1,1853,5,3,15,106,137,216,3037,3498,3367,3628,889,1003,1017,948,4817,4755,4084,3920,100,99,396,409
1777951316837,2026-05-05T03:21:56.837Z,17600,40,21,-71,20,36,12,35,3592,37,-27,1,1,2064,10,11,36,140,189,231,3461,3618,3814,3662,938,949,1029,964,5091,5018,4017,3752,97,94,381,428
