timestamp,iso_time,TimeSampling,bmsVolts,bmsTemp,bmsCurrent,bmsSOC,engineTemp,ECUBattV,speed,RPM,throttle,steering,HyStatus,Gear,RawBrake,imuAx,imuAy,imuAz,imuGx,imuGy,imuGz,susp1Raw,susp2Raw,susp3Raw,susp4Raw,rpmPa15,rpmPb3,rpmPb5,rpmPb8,vescRpmLeft,vescRpmRight,apps1,apps2,pedal,duty,leftMotor,rightMotor
1777979379279,2026-05-05T11:09:39.279Z,32767,837.2,54,49.4,97.1,100,14.5,122,11804,96,39.7,1,1,857,11.12,7.973,8.106,121,99,6.5,2445,1942,1682,1513,356,338,225,252,854,650,604,145,5,1,-521,-474
1777979379388,2026-05-05T11:09:39.388Z,32767,839.1,54,47.4,100.8,99,14.4,123,11440,94,35.3,1,1,851,9.372,8.2,4.67,104,62,3.3,2112,1674,1679,1450,280,310,249,184,666,678,305,153,2,0,-463,-466
1777979379497,2026-05-05T11:09:39.497Z,32767,835.1,54,47.5,95.1,101,14.4,114,11705,97,33.8,1,1,844,7.749,5.197,3.905,55,77,-1.4,1684,1451,1495,1092,268,270,209,129,660,326,394,331,5,5,-499,-505
1777979379606,2026-05-05T11:09:39.606Z,32767,834.8,55,51.7,95.1,99,14.4,116,10818,85,31.3,1,1,798,7.406,5.852,4.722,20,0,-3.2,1487,1594,1333,977,266,139,180,77,191,387,341,-14,-1,0,-505,-540
1777979379715,2026-05-05T11:09:39.715Z,32767,839.1,56,51.5,94.5,100,14.4,116,10473,90,28.3,1,1,672,5.968,4.32,1.225,21,-22,-7.4,1401,1394,1050,945,160,176,116,134,174,307,-13,151,1,-1,-452,-536
1777979379823,2026-05-05T11:09:39.823Z,32767,842.9,54,51.2,99.7,100,14.3,107,10107,80,25.2,1,1,692,2.218,0.604,-0.024,-55,-54,-18.3,1307,907,995,837,147,89,100,67,98,242,-37,98,2,4,-499,-484
1777979379932,2026-05-05T11:09:39.932Z,32767,843.4,54,47.9,99.2,97,14.2,101,9998,78,25.9,1,1,606,2.259,-0.862,-2.184,-95,-84,-23.2,945,787,800,444,131,124,100,74,146,-29,-71,78,-3,-2,-521,-472
1777979380040,2026-05-05T11:09:40.040Z,32767,833.9,55,48.7,91.5,97,14.1,96,9342,77,22.6,1,1,597,-0.245,-0.877,-1.411,-122,-156,-22.9,996,907,485,312,84,104,22,-10,281,-222,140,178,0,3,-503,-445
1777979380148,2026-05-05T11:09:40.148Z,32767,830.8,53,44.9,89.7,97,14,100,8806,66,12.9,1,1,505,-1.793,-2.602,-5.205,-104,-161,-27,614,681,567,379,74,55,-23,-11,-62,-179,-6,52,0,5,-392,-382
1777979380257,2026-05-05T11:09:40.257Z,32767,835.6,55,45.7,83.4,96,13.9,84,8856,64,7.1,1,1,426,-1.126,-4.012,-6.741,-182,-164,-30.6,629,614,507,286,18,-6,-30,-40,-8,31,110,111,7,6,-384,-336
1777979380366,2026-05-05T11:09:40.366Z,32767,826.7,53,42.7,78.9,93,13.9,88,7349,62,7.2,1,2,405,-3.709,-4.35,-6.894,-217,-198,-33.4,449,486,364,82,50,-32,4,-9,-6,152,-37,332,9,10,-362,-368
1777979380475,2026-05-05T11:09:40.475Z,32767,833.3,52,40.1,75.5,92,13.7,77,6996,55,5.1,1,2,381,-4.585,-6.105,-9.486,-226,-251,-34.6,501,310,71,230,38,-13,48,28,177,-13,8,250,9,15,-306,-262
1777979380584,2026-05-05T11:09:40.584Z,32767,827.4,50,39.3,73.7,90,13.7,70,6255,53,-0.8,1,2,323,-6.312,-8.728,-10.35,-259,-277,-44.1,386,115,30,217,21,49,-3,59,-110,225,371,320,9,10,-335,-277
1777979380693,2026-05-05T11:09:40.693Z,32767,817.6,50,37.9,74.3,90,13.5,65,6116,44,-6.3,1,2,295,-8.198,-8.288,-9.811,-246,-313,-44,281,228,44,-131,-17,-13,-7,58,36,193,191,363,20,20,-246,-228
1777979380802,2026-05-05T11:09:40.802Z,32767,811.9,48,37.6,66.5,88,13.3,65,5295,39,-16.2,1,2,274,-10.427,-11.541,-10.544,-303,-349,-42.3,112,-15,-161,-138,-40,-5,17,45,502,216,506,728,23,24,-240,-184
1777979380912,2026-05-05T11:09:40.912Z,32767,807.3,49,31,59.9,88,13.2,60,4776,31,-20.2,1,2,231,-11.168,-10.687,-11.418,-285,-304,-44.1,192,-70,-128,90,51,12,-2,90,498,475,777,626,21,27,-149,-119
1777979381020,2026-05-05T11:09:41.020Z,32767,809.4,46,31.4,59.7,85,13.1,47,3807,32,-20.1,1,2,200,-12.418,-12.429,-14.405,-365,-362,-45.3,-16,142,0,102,63,59,80,78,786,664,786,1090,23,33,-172,-115
1777979381128,2026-05-05T11:09:41.128Z,32767,793.6,46,29.8,50.9,83,12.9,48,4255,30,-27.9,1,2,104,-13.265,-11.688,-12.126,-352,-344,-54.1,-17,161,80,58,32,92,136,109,930,1184,990,955,28,39,-102,-57
1777979381237,2026-05-05T11:09:41.237Z,32767,790,45,24.7,46.6,82,12.7,42,3826,24,-30.5,1,2,83,-11.827,-12.83,-15.396,-326,-377,-46.7,-88,-107,133,-15,91,106,168,177,1011,1389,922,1384,41,40,-1,-26
1777979381347,2026-05-05T11:09:41.347Z,32767,790.3,44,22.4,45.7,80,12.8,26,2633,22,-27.3,1,2,101,-12.833,-14.31,-15.293,-335,-346,-47.4,23,197,128,440,51,143,119,198,970,1161,1216,1430,42,43,-8,32
1777979381455,2026-05-05T11:09:41.455Z,32767,777.9,41,20,33,78,12.5,28,1881,19,-33.9,1,2,82,-12.803,-13.34,-13.945,-355,-379,-51.5,203,304,434,302,132,133,181,192,1161,1643,1381,1767,48,52,47,110
1777979381563,2026-05-05T11:09:41.563Z,32767,779.6,39,17.1,31.7,78,12.6,26,2087,15,-35.4,1,2,57,-13.621,-15.788,-15.919,-371,-327,-43.6,-34,439,275,575,152,234,239,281,1479,2010,1536,1887,52,59,136,203
1777979381673,2026-05-05T11:09:41.673Z,32767,770.1,39,16.9,25.9,76,12.5,19,1156,9,-39.2,1,2,9,-14.195,-13.66,-14.777,-362,-318,-45.4,178,209,648,626,214,207,284,327,2017,2203,2022,2001,55,61,212,207
1777979381782,2026-05-05T11:09:41.782Z,32767,764.1,37,15.5,27.4,74,12.4,13,1279,4,-39.4,1,2,29,-15.293,-14.107,-13.093,-365,-340,-39.5,266,322,415,913,216,275,328,327,1948,2490,2223,2111,65,63,214,268
1777979381889,2026-05-05T11:09:41.889Z,32767,759.1,36,9.3,16.1,73,12.1,13,258,1,-39.7,1,2,-39,-13.392,-13.601,-14.192,-314,-288,-43,463,440,623,1068,294,313,321,410,2316,2779,2094,2404,70,73,260,332
1777979381998,2026-05-05T11:09:41.998Z,32767,757.8,37,10.7,19.1,72,12.1,1,437,4,-44,1,2,-2,-13.36,-13.461,-13.499,-328,-262,-36.7,770,941,851,1173,306,415,412,487,2483,2895,2481,2773,72,79,258,368
1777979382107,2026-05-05T11:09:42.107Z,32767,746.2,33,7.8,8.2,71,12.2,6,192,0,-44.3,1,2,28,-14.009,-14.889,-13.273,-326,-276,-36.6,767,738,1134,1221,401,451,421,520,2598,3245,2739,2953,70,83,299,378
1777979382216,2026-05-05T11:09:42.216Z,32767,737.6,32,4.9,7.1,72,11.9,5,299,0,-41.7,1,2,6,-14.546,-14.169,-12.482,-293,-241,-34.6,1069,1213,1440,1624,391,494,478,528,3204,3215,2970,2958,76,81,412,388
1777979382324,2026-05-05T11:09:42.324Z,32767,734.8,33,4.4,4.4,71,12.1,0,48,3,-44.4,1,2,86,-14.323,-12.685,-10.497,-248,-226,-28.3,1184,1398,1331,1613,510,479,530,570,3457,3724,3093,3106,83,82,388,455
1777979382432,2026-05-05T11:09:42.432Z,32767,733.2,33,2.3,5,70,11.9,4,324,1,-39.9,1,2,98,-11.589,-12.254,-10.865,-216,-177,-19.1,1201,1479,1660,1805,514,613,621,691,3618,4019,2993,3184,86,86,443,439
1777979382540,2026-05-05T11:09:42.540Z,32767,727.6,30,-0.4,4.7,71,11.8,0,-298,-3,-42.7,0,3,40,-10.696,-9.662,-10.26,-214,-158,-15.2,1657,1630,1994,1940,614,569,631,758,3576,4199,3308,3381,93,88,410,443
1777979382649,2026-05-05T11:09:42.649Z,32767,726.6,32,1.2,-0.6,70,11.9,1,631,2,-37.3,0,3,93,-8.94,-10.496,-8.149,-157,-103,-8.2,1806,1685,1955,2218,594,653,709,717,4175,4064,3640,3524,93,94,480,474
1777979382757,2026-05-05T11:09:42.757Z,32767,723.1,31,1.6,0.9,70,12,4,-93,0,-38.1,0,3,145,-7.826,-7.589,-6.638,-119,-77,-12.2,2050,1908,2219,2287,711,662,790,748,4387,4239,3469,3716,92,100,526,485
1777979382866,2026-05-05T11:09:42.866Z,32767,718.9,29,1.5,-0.2,69,11.9,-3,781,3,-36.5,0,3,207,-6.572,-6.069,-3.84,-70,-43,-2.5,2110,2215,2298,2705,695,784,796,880,4414,4728,3734,3964,95,96,448,463
1777979382976,2026-05-05T11:09:42.976Z,32767,724.2,30,0.3,-2.7,70,12,7,490,12,-37.7,0,3,254,-5.411,-5.095,-3.583,-91,2,1,2350,2605,2499,2666,761,800,859,830,4738,4739,3913,3790,102,100,488,454
